episode,1,201,401,601,801,1001,1201,1401,1601,1801,2001,2201,2401,2601,2801,3001,3201,3401,3601,3801,4001,4201,4401,4601,4801,5001,5201,5401,5601,5801,6001,6201,6401,6601,6801,7001,7201,7401,7601,7801,8001,8201,8401,8601,8801,9001,9201,9401,9601,9801,10001,10201,10401,10601,10801,11001,11201,11401,11601,11801,12001,12201,12401,12601,12801,13001,13201,13401,13601,13801,14001,14201,14401,14601,14801
norm_ent 5,0.5445614039482313,0.5948057109260735,0.6056658832918989,0.5998361687763949,0.600205741525876,0.5998782890370619,0.6026118629443399,0.6001107924952005,0.6013331177664525,0.6015646801457623,0.6000763481096032,0.5998129480183839,0.6007237923157205,0.6006848005556906,0.6007608210521251,0.6011665743295215,0.6021594322411912,0.6022845534776406,0.6019293991553367,0.6025904823939191,0.6024417976261267,0.6033786140990033,0.6035423479725044,0.6037136075385758,0.605397617339628,0.6052296639346876,0.6049807885244619,0.6055791240106798,0.6056596489540516,0.6049244358751743,0.6048572822583409,0.6046780415014046,0.6044724754637272,0.6044329071779673,0.6044381734202545,0.6044717014989639,0.6045312509782188,0.6043455496597433,0.6045822248056929,0.6048610524593445,0.60466256764553,0.6046986225536234,0.6044396808127068,0.6046159414997343,0.6043761712603309,0.6042049720051392,0.6041623715307881,0.6039936150759322,0.6043265123671204,0.6042417945329722,0.6042944535116928,0.6041491196817536,0.604342235071983,0.6040028493003553,0.6042557559649022,0.6046273056809286,0.6043181927545297,0.6046027501764991,0.60483386039247,0.6049724954124346,0.6051106171586202,0.6051058581290469,0.605151052785442,0.6050248464031484,0.60504779509801,0.605486180902712,0.605742082322101,0.6056814115462377,0.6058925773814415,0.6058307477892252,0.605538110669752,0.6055121551433378
norm_ent 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 10,,0.7215527985354704,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573,0.7280605388121573
norm_ent 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 14,,0.7183374325061778,0.7222457444483474,0.7170951299576143,0.7195308882272268,0.7200759304566204,0.7230026045358339,0.7210820676264817,0.7223157330297714,0.7226841052468007,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302,0.7216185135571302
norm_ent 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
