episode,1,201,401,601,801,1001,1201,1401,1601,1801,2001,2201,2401,2601,2801,3001,3201,3401,3601,3801,4001,4201,4401,4601,4801,5001,5201,5401,5601,5801,6001,6201,6401,6601,6801,7001,7201,7401,7601,7801,8001,8201,8401,8601,8801,9001,9201,9401,9601,9801,10001,10201,10401,10601,10801,11001,11201,11401,11601,11801,12001,12201,12401,12601,12801,13001,13201,13401,13601,13801,14001,14201,14401,14601,14801
norm_ent 5,0.4985610311739065,0.5025548160580757,0.5030783632341571,0.5032331240645673,0.5034879969839888,0.5150806921191554,0.5313774545050671,0.5531322328699286,0.5650973555775602,0.5682567068505052,0.5701151682125735,0.5776351651768193,0.5844045345402569,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704,0.5874798430318704
norm_ent 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 9,,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572,0.6860103986000572
norm_ent 10,,,,0.6373133566555345,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142,0.6380689790503142
norm_ent 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 13,,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166,0.6737257273052166
norm_ent 14,,,,0.6269049925801841,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584,0.6273790739469584
norm_ent 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 16,,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725,0.6629092449385725
norm_ent 17,,,,0.6218463994418815,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614,0.622617763909614
norm_ent 18,,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707,0.6868554259917707
